15552	2237
16009	2323
16049	107
16226	3375
15219	7839
15207	5381
15295	1676
15467	410
15310	4592
16764	192
15637	8959
17685	2920
15253	111
15498	731
15340	6000
15279	5382
15254	349
15355	599
15493	2943
15230	8419
15431	2532
15659	2736
16672	5914
15331	1770
17105	9066
16782	5311
15755	6043
15898	7224
15198	3364
15184	5134
15713	528
15197	4070
15426	2097
15316	552
15171	10074
16229	7860
15741	1977
16147	2200
15412	5086
15211	13184
15235	5558
15243	82
16387	6895
15334	15071
16889	71
16414	1749
16083	672
16590	5475
15382	9534
15468	10797
16185	10108
15942	6647
15270	3306
15380	7752
15262	1021
15185	66
15484	4377
15301	280
15210	32
15501	5189
15476	68
17350	1126
16257	5628
15226	974
16569	1233
15197	1366
16412	6693
15275	3726
15660	6001
15509	8797
16165	1046
15477	8479
15246	442
15218	8036
15208	8795
15261	65
15704	10232
15168	723
15418	1092
15963	7151
16864	4053
15816	5506
15985	1699
15260	1269
17212	1503
15853	889
16554	2324
16155	1964
15200	717
16533	179
15321	3807
15181	402
16447	1143
15877	1812
15317	488
15222	1302
16792	574
15237	4862
15339	5990
15199	3693
16253	1179
16980	4423
15221	4646
15329	2621
15421	10167
15650	111
15238	4450
16683	1785
15245	4048
15325	9875
16021	1387
15495	6839
15292	9301
15841	13090
15384	7387
15248	580
15273	498
15369	8502
15314	1452
15510	535
15207	5596
15756	905
15282	67
15988	8578
15178	3706
15197	5250
15402	10835
15420	4273
15311	653
15260	3106
15182	12797
15256	52
15398	1663
15704	124
15316	513
15240	5344
15172	13028
15195	8501
15212	3729
15512	2956
15230	46
15253	6655
17420	1393
17397	1380
15297	14366
15884	4719
15169	830
15239	6010
15186	472
15501	12788
15240	41
16112	7779
15694	2997
15230	7413
15174	2948
15562	9390
15171	7994
15228	81
15403	1183
16661	12552
15335	11002
15668	7681
15988	3346
15909	6069
15241	163
16044	6121
17153	3712
15612	972
17285	6098
17451	3745
15397	2786
17324	525
15764	7696
15432	6113
15599	2572
15379	4081
15983	5159
15166	4757
15317	4083
15389	4509
15204	138
16315	788
15307	124
15195	5967
17424	9926
15757	1024
15289	3937
15583	7470
16496	4092
15701	13042
15599	197
15299	7731
16132	2157
15522	3828
17375	2902
15673	4145
15579	1165
15743	994
17612	2153
16120	5885
15238	3317
15353	8136
15247	1165
16100	1828
17730	1324
15177	1151
15257	281
15367	9659
15204	8449
15688	13330
17024	91
15835	3198
15194	8210
15476	3878
15247	4315
15875	1333
15167	10442
15412	3311
15885	85
15560	2830
15851	7395
15687	8848
15771	8266
15219	5148
17487	2219
15290	655
15164	399
16825	6142
15720	5265
15396	1306
15824	1009
16558	987
15275	2756
15196	861
15987	2925
16835	6643
16211	2054
15354	1778
15185	76
15341	10950
16625	106
15238	9073
17220	1182
15578	724
15273	2283
15929	2942
15226	5359
15239	788
15194	147
15317	4132
15294	1764
15186	1213
15194	7855
16279	12340
15196	2766
15645	5008
15539	1422
15555	1599
15966	5695
15540	91
16633	7965
15724	1051
15845	12103
15827	7697
15280	1685
15183	9993
15319	34
15262	1947
15244	4206
16987	6703
15170	3315
15345	1798
15778	9118
15512	56
16291	13052
15658	8794
15201	1277
15223	4884
15253	3760
15409	1986
15500	2485
15272	7
15599	1905
16041	3288
15599	5683
16971	11252
16251	9656
15811	8021
15685	744
15308	349
15265	2029
15195	10372
15317	548
15194	9880
16035	9321
15261	5609
15201	81
15519	6118
16061	2370
16523	6094
15464	1031
15415	1764
15860	3401
15166	10718
15290	2229
15165	1277
16638	4752
15169	7847
15860	7989
15837	1441
15191	6908
15248	243
15239	4340
15380	3926
15200	1789
16624	2703
15364	2868
16524	946
15901	124
16465	950
15657	2157
15488	1640
17382	11715
16107	9686
16077	3982
16137	5062
15168	7813
15198	881
15185	6017
15724	2987
15236	2069
15393	1052
15173	3054
17359	5809
16650	1653
15396	716
15322	10512
15224	1386
16468	3903
15219	901
15256	686
15368	6865
15167	4050
15253	1139
17741	3241
15205	4883
15892	2609
15432	6875
15284	824
15224	8120
15381	10121
15325	379
15771	10664
15488	1527
16044	481
15297	2467
17527	1888
15356	220
16132	125
15173	464
15963	8935
15283	12752
15685	494
15209	9617
15411	638
15199	7857
15317	1795
15820	982
15176	5452
15528	2606
15225	12429
15172	2954
15166	17
15359	14390
15726	1560
16250	7276
15179	1418
15174	2755
15871	4134
15476	9979
15202	959
15343	184
15205	2613
15697	4879
15260	9263
15915	4238
15239	5253
15238	12206
15222	442
16142	4480
16714	5474
15202	2268
15240	140
15487	10116
15250	6180
15289	990
16227	3407
15429	266
15190	1145
17114	1069
15162	465
16597	12238
15208	214
15346	1808
15266	3341
17125	6360
15207	23
15315	8720
16636	1095
15976	45
16561	3731
15222	2982
16427	9504
15348	13179
15182	5046
15797	68
15295	1642
15861	9102
15165	2251
15427	6805
15326	1609
15872	1084
15495	1823
15627	3015
15904	2103
15207	4468
15896	3506
17682	3128
16324	72
15327	628
15192	1887
15177	10598
15322	6820
15165	247
15443	4480
15264	1425
15396	5323
15868	222
16260	1243
16318	12514
15322	475
15537	1034
15493	5431
15186	11971
15413	3718
15326	4109
16398	1924
16351	8523
15345	227
15197	1835
16726	772
16584	3135
15744	4117
15692	4959
15586	345
15308	3380
15857	8043
17133	1197
15220	1349
16095	10962
15350	9012
15315	2114
15163	12039
15175	697
15190	6237
16455	4393
16287	3896
16092	2035
15346	625
15169	1926
17462	2023
17382	7708
15351	6792
16868	921
16752	3743
15902	4017
15345	4127
15400	486
15333	5124
15463	8837
15619	12905
17103	7595
16017	920
17033	2985
16170	2840
15538	845
15793	1609
15442	1834
15333	12878
16156	3437
16032	7070
15504	4434
15288	700
15450	1941
15186	5339
15198	11901
17181	1781
15208	3391
15530	7136
17693	8258
15504	51
15361	1623
15363	119
15412	5489
15234	6
15995	2266
16344	6346
15836	3530
15198	7171
15299	159
15534	658
16101	2442
15395	4448
15384	969
15238	22
15372	2017
15194	540
15180	4476
15181	2780
15680	167
15438	10202
15181	6953
15617	4131
17537	333
15343	9052
15423	14046
15637	1548
15581	11196
15161	7995
15271	11074
15281	7026
16139	11890
15187	11643
15237	617
15347	9151
15364	5180
16167	1334
15604	1851
15174	8424
15558	2484
15581	10933
15161	11904
15520	15
16088	4484
16016	8421
16243	873
15759	6800
15299	1430
16129	4724
17295	14682
16851	1381
15973	1716
15456	12181
15405	2695
16337	860
15570	6219
15652	304
15298	9750
15697	2606
15199	270
15198	2658
17438	1580
15355	14023
15195	9665
15271	8098
15321	12138
16559	4644
15402	3312
15255	1719
15515	5909
15457	7259
15573	12880
16070	550
16359	3857
15368	51
17314	2910
15278	78
15274	243
17594	937
16647	3542
15989	443
15539	9580
16089	1183
15520	3132
15189	8482
15320	5380
15202	776
15177	858
16069	3766
17515	2144
15375	12367
16361	351
15227	9951
15831	4111
15538	2225
16148	264
16049	4671
16121	6666
16371	1704
15946	12866
15574	2875
16613	2639
15418	870
15711	13454
15301	7161
16627	953
15619	11795
15205	6257
15941	563
15240	7096
15204	11648
15836	8118
16583	5125
15385	4314
15693	3988
15351	8319
16257	436
16421	1723
15229	436
16994	8186
15177	5065
15287	2717
15410	12807
15203	123
17671	554
16105	444
15209	6887
15651	1722
15274	520
15318	731
15304	1952
15362	3017
16037	6761
15166	6796
15179	34
15794	95
17064	1173
17786	8154
17341	3241
15274	295
15315	506
15177	5737
15442	1223
15196	121
15742	8024
15181	413
15397	3831
15298	10043
15165	2971
15668	12108
15292	10509
15254	8806
16106	11012
15248	727
